Nr;Zuwendungsempfänger;Projektbezeichnung;Fördersumme nach Jahr und Gesamt;Gesamtförder- zeitraum;Programmbereich
608;Städteregion Aachen;StädteRegion Aachen, exkl. Stadt Aachen;2023: 144.900,00 € 2024: 144.900,00 € Gesamt: 289.800,00 €;01.10.2021 - 31.12.2024;Partnerschaften für Demokratie
609;Stadtverwaltung Eisenach;Eisenach und Wutha-Farnroda;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
610;Universitäts- und Hansestadt Greifswald;Stadt Greifswald;2023: 209.900,00 € 2024: 199.400,00 € Gesamt: 409.300,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
611;Universitätsstadt Tübingen;Universitätsstadt Tübingen;2023: 112.500,00 € 2024: 112.500,00 € Gesamt: 225.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
612;Unstrut-Hainich-Kreis;Unstrut-Hainich-Kreis;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
613;Verbandsgemeinde Höhr- Grenzhausen;Verbandsgemeinde Höhr-Grenzhausen;2023: 103.500,00 € 2024: 103.500,00 € Gesamt: 207.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
614;Verbandsgemeinde Konz;Verbandsgemeinde Konz;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
615;Verbandsgemeinde Rhein-Mosel;Verbandsgemeinde Rhein-Mosel;2023: 125.000,00 € 2024: 54.500,00 € Gesamt: 179.500,00 €;15.05.2021 - 31.12.2024;Partnerschaften für Demokratie
616;Verbandsgemeinde Saarburg;Verbandsgemeinde Saarburg;2023: 108.000,00 € 2024: 108.000,00 € Gesamt: 216.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
617;Verbandsgemeinde Schweich an der Römischen Weinstraße;Verbandsgemeinde Schweich;2023: 117.000,00 € 2024: 117.000,00 € Gesamt: 234.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
618;Verbandsgemeindeverwaltung Hermeskeil;Verbandsgemeinde Hermeskeil und Verbandsgemeinde Ruwer;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;15.05.2021 - 31.12.2024;Partnerschaften für Demokratie
619;Vogelsbergkreis;Vogelsbergkreis außer Stadt Schotten;2023: 112.500,00 € 2024: 112.500,00 € Gesamt: 225.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
620;Vogtlandkreis;Vogtlandkreis;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
621;Volkshochschule Aachen;Stadt Aachen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
622;Wartburgkreis;Wartburgkreis;2023: 210.000,00 € 2024: 210.000,00 € Gesamt: 420.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
623;Werra-Meißner-Kreis;Werra-Meißner-Kreis;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
624;Wetteraukreis;Wetteraukreis ohne die Kommunen Butzbach, Bündingen, Altenstadt, Nidda, Echzell, Florstadt, Reichelsheim und Wölfersheim;2023: 120.600,00 € 2024: 120.600,00 € Gesamt: 241.200,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
625;Wissenschaftsstadt Darmstadt;Wissenschaftsstadt Darmstadt;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
626;Ambulante Maßnahmen Altona e.V.;Legato - Islamismusprävention im justiziellen Feld (PräJus);2023: 658.448,86 € 2024: 689.792,74 € Gesamt: 1.348.241,60 €;01.01.2020 - 31.12.2024;Strafvollzug und Bewährungshilfe
627;Ambulante Maßnahmen Altona e.V.;Legato - Bremen;2023: 437.649,67 € 2024: 448.176,32 € Gesamt: 885.825,99 €;01.01.2020 - 31.12.2024;Strafvollzug und Bewährungshilfe
628;Christliches Jugenddorfwerk Deutschlands gemeinnütziger e.V. (CJD);PräRaDEx;2023: 250.806,09 € 2024: 273.474,43 € Gesamt: 524.280,52 €;01.01.2020 - 31.12.2024;Strafvollzug und Bewährungshilfe
629;FITT-Institut für Technologietransfer an der Hochschule für Technik und Wirtschaft des Saarlandes gemeinnützige GmbH;Yallah Justiz - Radikalisierungsprävention im Strafvollzug Saar;2023: 268.280,47 € 2024: 293.824,56 € Gesamt: 562.105,03 €;01.01.2020 - 31.12.2024;Strafvollzug und Bewährungshilfe
630;IFAK e.V.-Verein für multikulturelle Kinder- und Jugendhilfe-Migrationsarbeit;re:vision;2023: 531.468,16 € 2024: 487.458,22 € Gesamt: 1.018.926,38 €;01.01.2020 - 31.12.2024;Strafvollzug und Bewährungshilfe
631;Miteinander - Netzwerk für Demokratie und Weltoffenheit in Sachsen-Anhalt e.V.;Fachzentrum Radikalisierungsprävention in Vollzug & Straffälligenhilfe Sachsen- Anhalt;2023: 541.900,00 € 2024: 590.000,00 € Gesamt: 1.131.900,00 €;01.01.2020 - 31.12.2024;Strafvollzug und Bewährungshilfe
632;Türkische Gemeinde in Schleswig-Holstein e. V.;Kick-off;2023: 499.500,00 € 2024: 499.500,00 € Gesamt: 999.000,00 €;01.01.2020 - 31.12.2024;Strafvollzug und Bewährungshilfe
633;UNITYED e.V.;BLICKPUNKT - Extremismusprävention & Deradikalisierung im (Jugend- )Strafvollzug;2023: 364.623,21 € 2024: 404.066,76 € Gesamt: 768.689,97 €;15.08.2021 - 31.12.2024;Strafvollzug und Bewährungshilfe
634;Violence Prevention Network gGmbH;KOgEX Hessen 2.0 - Kompetenz gegen Extremismus in Justizvollzug und Bewährungshilfe;2023: 709.500,00 € 2024: 750.000,00 € Gesamt: 1.459.500,00 €;01.01.2020 - 31.12.2024;Strafvollzug und Bewährungshilfe
635;Violence Prevention Network gGmbH;EXchange Brandenburg - Mobile Maßnahmen zur Prävention und Deradikalisierung in Strafvollzug und Bewährungshilfe;2023: 299.970,00 € 2024: 299.970,00 € Gesamt: 599.940,00 €;01.01.2020 - 31.12.2024;Strafvollzug und Bewährungshilfe
636;Violence Prevention Network gGmbH;Prisma Sachsen - Radikalisierung erkennen, Deradikalisierung begleiten, Kompetenzen bündeln;2023: 679.950,00 € 2024: 679.950,00 € Gesamt: 1.359.900,00 €;01.01.2020 - 31.12.2024;Strafvollzug und Bewährungshilfe
637;Violence Prevention Network gGmbH;PräWo Justiz - Workshop-Reihe im Justizvollzug für junge radikalisierungsanfällige Inhaftierte;2023: 216.000,00 € 2024: 232.200,00 € Gesamt: 448.200,00 €;01.01.2020 - 31.12.2024;Strafvollzug und Bewährungshilfe
638;Violence Prevention Network gGmbH;Fokus ISLEX Niedersachsen - Mobile Maßnahmen zur Prävention und Deradikalisierung im niedersächsischen Strafvollzug und in der Bewährungshilfe;2023: 642.600,00 € 2024: 656.235,00 € Gesamt: 1.298.835,00 €;01.01.2020 - 31.12.2024;Strafvollzug und Bewährungshilfe
639;Violence Prevention Network gGmbH;JUST X Berlin - Prävention und Deradikalisierung im Berliner Strafvollzug und in der Bewährungshilfe;2023: 750.000,00 € 2024: 750.000,00 € Gesamt: 1.500.000,00 €;01.01.2020 - 31.12.2024;Strafvollzug und Bewährungshilfe
640;WerTzeug e.V.;Wertraum - Demokratiebildung im Strafvollzug;2023: 497.629,28 € 2024: 513.258,93 € Gesamt: 1.010.888,21 €;01.01.2020 - 31.12.2024;Strafvollzug und Bewährungshilfe
641;Aktion Sühnezeichen Friedensdienste e.V.;Historisch-politisches Lernen in der Post- Migrationsgesellschaft: Sensibilisierung für Rassismus gegen Sinti und Roma in Geschichte und Gegenwart;2023: 133.983,58 € 2024: 148.062,69 € Gesamt: 282.046,27 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
642;Amadeu Antonio Stiftung;Debunk. Verschwörungstheoretischem Antisemitismus entgegentreten;2023: 195.216,76 € 2024: 198.000,00 € Gesamt: 393.216,76 €;15.03.2020 - 31.12.2024;Vielfaltgestaltung
643;Amaro Foro - transkulturelle Jugendselbstorganisation von Roma und Nicht-Roma- e. V.;Diversity in Media - Modellprojekt zur Sensibilisierung von Medienschaffenden für Antiziganismus;2023: 193.730,87 € 2024: 198.000,00 € Gesamt: 391.730,87 €;01.03.2020 - 31.12.2024;Vielfaltgestaltung
644;Antidiskriminierungsforum Saar e.V.;Nichtdiskriminierung - Recht und Verpflichtung! Antidiskriminierung Saar 2020+;2023: 117.973,90 € 2024: 119.927,74 € Gesamt: 237.901,64 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
645;Arbeitsgemeinschaft der Ausländer-, Migranten- und Integrations(bei)räte Bayerns, AGABY e.V.;Aktiv(ierend)e Antidiskriminierungsarbeit in Bayern Integrationsbeiräte und Betroffene als Akteur*Innen: Empowerment & Professionalisierung - Sichtbarmachung - Beratung - Vernetzung;2023: 179.999,99 € 2024: 183.000,00 € Gesamt: 362.999,99 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
646;Arbeitsgemeinschaft Migrantinnen/Migranten und Flüchtlinge in Niedersachsen e.V. (AMFN e.V.);Zusammenhalt stärken - Migrant*innen gegen Rassismus;2023: 196.033,03 € 2024: 199.038,94 € Gesamt: 395.071,97 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
647;BASIS & WOGE e.V.;SelbstSicherSein 2.0 - Sag' NEIN! zu Diskriminierung;2023: 198.000,00 € 2024: 198.000,00 € Gesamt: 396.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
648;BASIS & WOGE e.V.;re_Member - Mit Empowerment gegen Anti-Schwarzen Rassismus;2023: 186.496,35 € 2024: 197.836,42 € Gesamt: 384.332,77 €;01.01.2022 - 31.12.2024;Vielfaltgestaltung
649;Bildung in Widerspruch e.V.;Bildung in Widerspruch - Online gegen Antisemitismus;2023: 225.100,00 € 2024: 200.000,00 € Gesamt: 425.100,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
650;BIWOC Rising gUG (haftungsbeschränkt);BIWOC* Impact;2023: 247.000,00 € 2024: 180.000,00 € Gesamt: 427.000,00 €;19.07.2021 - 31.12.2024;Vielfaltgestaltung
651;Bundesarbeitsgemeinschaft Seniorenbüros e.V.;Generationen - Kulturen - Vielfalt;2023: 182.358,70 € 2024: 193.956,41 € Gesamt: 376.315,11 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
652;Bundeselternnetzwerk der Migrantenorganisationen für Bildung & Teilhabe (bbt) e.V.;Kompetente Eltern für die Bildung ihrer Kinder (KEBiK);2023: 194.199,90 € 2024: 197.274,82 € Gesamt: 391.474,72 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
653;CD-Kaserne gGmbH;Wer sind wir? Denken, Sprechen, Handeln in der Islamdebatte;2023: 105.000,00 € 2024: 11.141,00 € Gesamt: 116.141,00 €;03.02.2020 - 15.03.2024;Vielfaltgestaltung
654;Charta der Vielfalt e.V.;DIVERSITY CHALLENGE Vielfalt neu denken;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
655;DSI Deutschlandstiftung Integration gGmbH;Vielfalt im Amt - ViA;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
656;FITT-Institut für Technologietransfer an der Hochschule für Technik und Wirtschaft des Saarlandes gemeinnützige GmbH;Jugendhilfe in der Migrationsgesellschaft - differenzsensibel und diskriminierungskritisch!;2023: 199.142,07 € 2024: 199.988,54 € Gesamt: 399.130,61 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
657;FreundInnen- und Förderkreis Arbeits- und Studienaufenthalte (ASA) in Afrika, Asien und Lateinamerika (ASA-FF) e.V.;neue unentdeckte narrative 2025 (NUN);2023: 200.000,00 € 2024: 197.655,00 € Gesamt: 397.655,00 €;15.03.2020 - 31.12.2024;Vielfaltgestaltung
658;GePGeMi e.V.;Asiat*innen aktiv - für ein Leben ohne Diskriminierung;2023: 199.971,69 € 2024: 199.971,69 € Gesamt: 399.943,38 €;19.07.2021 - 31.12.2024;Vielfaltgestaltung
659;HATIKVA - Bildungs-und Begegnungsstätte für jüdische Geschichte und Kultur Sachsen e.V.;Gibts doch gar nicht... - Sensibilisierung für antisemitische Einstellungen und Diskriminierungen in der Gegenwart;2023: 146.139,28 € 2024: 146.086,28 € Gesamt: 292.225,56 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
660;Hochschule für angewandte Wissenschaften Landshut;Antisemitismus in der Migrationsgesellschaft;2023: 191.780,68 € 2024: 196.714,82 € Gesamt: 388.495,50 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
661;Holla e.V. - Zentrum für intersektionale Gesundheit;Ismie Mie - Musliminnen* in Deutschland;2023: 198.863,69 € 2024: 198.332,31 € Gesamt: 397.196,00 €;19.07.2021 - 31.12.2024;Vielfaltgestaltung
662;Ibn Rushd - Goethe Moschee gGmbH;Anlaufstelle Islam und Diversity (AID);2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;15.03.2020 - 31.12.2024;Vielfaltgestaltung
663;Initiative Awareness e.V.;Support f(x) - Schnittstelle für Awareness, Antidiskriminierungsarbeit und Gewaltprävention;2023: 216.760,00 € 2024: 200.000,00 € Gesamt: 416.760,00 €;19.07.2021 - 31.12.2024;Vielfaltgestaltung
664;Institut für Neue Soziale Plastik e.V.;Chasak! Gegen Antisemitismus im ländlichen Raum;2023: 247.000,00 € 2024: 199.997,60 € Gesamt: 446.997,60 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
665;Institut zur Förderung von Bildung und Integration INBI Consulting GmbH;Bildung vielfältig gestalten;2023: 199.979,98 € 2024: 198.978,86 € Gesamt: 398.958,84 €;01.06.2020 - 31.12.2024;Vielfaltgestaltung
666;interkular gGmbH;Bus of Resources;2023: 149.870,80 € 2024: 149.835,98 € Gesamt: 299.706,78 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
667;International Centre for Policy Advocacy (ICPA) gGmbH;RESET: Neue Strategische Kommunikation zur Neusetzung des Islam-Narrativs in Deutschland;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
668;International Rescue Committee IRC Deutschland gGmbH;Mädchen Mischen Mit - Inklusive Mädchenarbeit für Vielfalt und Teilhabe;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
669;"Internationaler Kultur und Sport Verein der Roma - "" C A R M E N e.V. "" -";EmpoR - Empowerment für Roma;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
670;Islamisches Wissenschafts- und Bildungsinstitut e.V.;QualiMoVe - Qualitätsentwicklung in Moscheegemeinden und islamischen Organisationen durch Vernetzung;2023: 222.846,83 € 2024: 200.000,00 € Gesamt: 422.846,83 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
671;Jehi 'Or Jüdisches Bildungswerk für Demokratie - gegen Antisemitismus gUG (haftungsbeschränkt);Tikkun - Wertebildung und Kompetenzförderung: Für Menschenwürde und Demokratie;2023: 199.765,46 € 2024: 199.664,56 € Gesamt: 399.430,02 €;15.03.2020 - 31.12.2024;Vielfaltgestaltung
672;Jüdisches Forum für Demokratie und gegen Antisemitismus e.V.;Dialog und Aufklärung - Antisemitismus 2.0.;2023: 199.420,00 € 2024: 199.420,00 € Gesamt: 398.840,00 €;15.03.2020 - 31.12.2024;Vielfaltgestaltung
673;Jugend kann bewegen e.V.;BAEM! Queere Bildungs-, Antidiskriminierungs- und Empowermentarbeit in Mecklenburg- Vorpommern lokal verankern;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;15.03.2020 - 31.12.2024;Vielfaltgestaltung
674;Jugendbildungsstätte Bremen Lidice-Haus Gemeinnützige Gesellschaft mit beschränkter Haftung;AkriBa - Antisemitismuskritische Bildungsarbeit;2023: 158.081,34 € 2024: 188.421,87 € Gesamt: 346.503,21 €;15.03.2020 - 31.12.2024;Vielfaltgestaltung
675;Katholische Erwachsenenbildung im Land Sachsen- Anhalt e.V.;KurVe - Kulturelle und religiöse Vielfalt erleben und gestalten;2023: 199.299,25 € 2024: 199.266,08 € Gesamt: 398.565,33 €;19.07.2021 - 31.12.2024;Vielfaltgestaltung
676;KoFaS gemeinnützige GmbH;Vielfalt im Stadion - Zugang, Schutz & Teilhabe;2023: 159.404,31 € 2024: 168.655,68 € Gesamt: 328.059,99 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
677;Koordinierungstelle Weiiterbildung und Beschäftigung e.V. (KWB);Peer4Queer;2023: 178.066,31 € 2024: 188.143,28 € Gesamt: 366.209,59 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
678;korientation. Netzwerk für asiatisch-deutsche Perspektiven e.V.;MEDIA AND EMPOWERMENT FOR GERMAN-ASIANS (MEGA);2023: 179.100,00 € 2024: 179.100,00 € Gesamt: 358.200,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
679;Kubus e.V.;Schalom und Salam miteinander;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
680;La Red - Vernetzung und Integration e.V.;open mind - Transnational und communityübergreifend gegen Islam und Muslimfeindlichkeit;2023: 199.999,96 € 2024: 199.995,08 € Gesamt: 399.995,04 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
681;Landessportbund Sachsen-Anhalt e. V.;Gemeinsam STARK;2023: 114.480,00 € 2024: 114.480,00 € Gesamt: 228.960,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
682;LIFE - Bildung, Umwelt, Chancengleichheit e.V.;Guten Morgen, Abendland! Europa ist mehr;2023: 200.000,00 € 2024: 196.242,75 € Gesamt: 396.242,75 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
683;Maimonides jüdisch-muslimisches Bildungswerk gemeinnützige UG (haftungsbeschränkt);Couragiert! Gemeinsam gegen Antisemitismus und Islam- und Muslimfeindlichkeit.;2023: 220.000,00 € 2024: 220.000,00 € Gesamt: 440.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
684;MAKKABI Jüdischer Turn- und Sportverband in Deutschland e. V.;Zusammen1 - Für das, was uns verbindet. Die Initiative für Vielfalt auf deutschen Sportplätzen;2023: 199.396,22 € 2024: 199.382,86 € Gesamt: 398.779,08 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
685;Martin-Niemöller-Haus Berlin- Dahlem e.V.;Aus Deiner Sicht! - Evangelische Erinnerungskultur diversitätsbewußt gestalten;2023: 136.146,47 € 2024: 132.648,45 € Gesamt: 268.794,92 €;01.04.2020 - 31.12.2024;Vielfaltgestaltung
686;Mosaik e.V.;Crossing the barriers - Gemeinsam für ein diskriminierungsfreies Leben;2023: 164.745,95 € 2024: 163.486,88 € Gesamt: 328.232,83 €;01.03.2020 - 31.12.2024;Vielfaltgestaltung
687;NDC-Saar - Netzwerk für Demokratie und Courage e. V.;Remember - Erinnerung muss gelebt werden;2023: 184.335,03 € 2024: 184.795,62 € Gesamt: 369.130,65 €;01.04.2020 - 31.12.2024;Vielfaltgestaltung
688;Netzwerk für Demokratie und Courage Sachsen-Anhalt e.V.;Couragiert vor Ort - Gemeinsam Antisemitismus entgegentreten;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
689;Neue deutsche Medienmacher*innen e.V. Die Würde des Menschen ist unhassbar. NO HATE SPEECH 2020-2024;2023: 189.515,27 € 2024: 199.968,92 € Gesamt: 389.484,19 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung;
690;OFEK e.V. Beratungsstelle bei antisemitischer Gewalt und Diskriminierung;OFEK BaWü - Community basierte Interventionen;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.04.2020 - 31.12.2024;Vielfaltgestaltung
691;Opferperspektive - Solidarisch gegen Rassismus, Diskriminierung und rechte Gewalt e.V.;changelog - Chancengleicheit kommunal;2023: 179.401,56 € 2024: 200.000,00 € Gesamt: 379.401,56 €;15.03.2020 - 31.12.2024;Vielfaltgestaltung
692;Queere Bildung e.V. - Bundesverband für Bildungs- und Aufklärungsarbeit im Bereich sexueller und geschlechtlicher Vielfalt;Bildungs_lücken schließen - Aufbau, Qualifizierung und Stärkung queerer Bildungsprojekte in strukturschwachen Regionen bundesweit;2023: 205.642,37 € 2024: 199.997,37 € Gesamt: 405.639,74 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
693;RAA - Demokratie und Bildung Mecklenburg-Vorpommern e. V.;Klappe auf!;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
694;RAA - Demokratie und Bildung Mecklenburg-Vorpommern e. V.;perspektywa - Zusammenleben und Beteiligung stärken;2023: 182.700,00 € 2024: 181.746,00 € Gesamt: 364.446,00 €;15.03.2020 - 31.12.2024;Vielfaltgestaltung
695;Regionale Arbeitsstellen für Bildung, Integration und Demokratie (RAA) e.V.;gemeinsam starkgemacht - für eine vielfältige und demokratische Jugend;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
696;Roma Center e.V.;Roma in Society. Reloaded;2023: 152.034,77 € 2024: 150.934,29 € Gesamt: 302.969,06 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
697;RomaniPhen e.V.;Romnja-Power (Main-) Streaming;2023: 196.770,30 € 2024: 197.519,63 € Gesamt: 394.289,93 €;19.07.2021 - 31.12.2024;Vielfaltgestaltung
698;RomaTrial e.V. - Transkulturelle Selbstorganisation von Roma und Nicht-Roma;WIR SIND HIER! Bildungsprogramm gegen Antiziganismus;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
699;Roots & Routes Cologne;iJuLa - Intersektionale JugendLabore im Veedel;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
700;Sozialer Friedensdienst Kassel;MUT-zu-TATEN - Vielfaltsbotschafter*innen in Aktion!;2023: 194.386,16 € 2024: 192.094,16 € Gesamt: 386.480,32 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
701;Stiftung Bürger für Bürger;JugendStil - Teilhabe und Mitgestaltung junger Migrant*innen in Ostdeutschland;2023: 280.000,00 € 2024: 240.000,00 € Gesamt: 520.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
702;Stiftung Europäische Jugendbildungs- und Jugendbegegnungsstätte WEIMAR (EJBW);Migrant*innen als Fachkräfte der Jugendarbeit: Qualifizierung, Empowerment, Bildungsangebote für den ländlichen Raum;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
703;Stiftung House of One - Bet- und Lehrhaus Berlin;House of One - virtuell gebaut. Interreligiös gegen Antisemitismus;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
704;Stiftung niedersächsische Gedenkstätten;"KogA ""Kompetenzstelle gegen Antiziganismus""";2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
705;Technische Universität Darmstadt;Vielfalt bildet! Rassismuskritische Bildungsarbeit gemeinsam gestalten;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
706;Trans-Inter-Aktiv in Mitteldeutschland e.V.;Zukunft gestalten - geschlechtliche Vielfalt (er)leben;2023: 252.237,53 € 2024: 199.989,44 € Gesamt: 452.226,97 €;15.03.2020 - 31.12.2024;Vielfaltgestaltung
707;Türkische Gemeinde in Schleswig-Holstein e. V.;Raum 3 - Empowerment junger Muslim*innen durch Medienarbeit;2023: 195.512,65 € 2024: 195.503,53 € Gesamt: 391.016,18 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
708;Ufuq e.V.;kiez:story. Ich sehe was, was du nicht siehst.;2023: 180.000,00 € 2024: 180.000,00 € Gesamt: 360.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
709;Verband binationaler Familien und Partnerschaften, iaf;(Un)Sichtbarkeiten in der Migrationsgesellschaft - Storytelling angesichts von antimuslimischem Rassismus und Ethnosexismus;2023: 184.761,59 € 2024: 187.579,80 € Gesamt: 372.341,39 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
710;Verein Deutscher Sinti e.V. Minden;Mer Ketne - Wir zusammen!;2023: 175.446,49 € 2024: 165.701,25 € Gesamt: 341.147,74 €;19.07.2021 - 31.12.2024;Vielfaltgestaltung
711;Young Voice TGD e.V.;Botschafer*innen des Wandels - Entfalte dein Potenzial und hilf anderen dabei;2023: 156.825,77 € 2024: 170.609,09 € Gesamt: 327.434,86 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
712;Zentrale Bildungs- und Beratungsstelle für MigrantInnen e.V.;Die Öffnung der Familie;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.04.2020 - 31.12.2024;Vielfaltgestaltung
713;Zentralrat der Juden in Deutschland;Meet a Jew;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Vielfaltgestaltung
714;Camino - Werkstatt für Fortbildung, Praxisbegleitung und Forschung im sozialen Bereich - gGmbH;Wissenschaftliche Begleitung des Innovationsfonds;2023: 505.093,33 € 2024: 509.594,60 € Gesamt: 1.014.687,93 €;01.11.2020 - 31.12.2024;wissenschaftliche Begleitung
715;Deutsches Jugendinstitut e.V.;Programmevaluation und wissenschaftliche Begleitung - Demokratie Leben!;2023: 3.093.212,70 € 2024: 3.386.101,74 € Gesamt: 6.479.314,44 €;01.01.2020 - 31.12.2024;wissenschaftliche Begleitung
716;Deutsches Zentrum für Integrations- und Migrationsforschung e.V.;"Wissenschaftliche Begleitung im Rahmen des Bundesprogramms ""Demokratie Leben"" des BMFSFJ im Handlungsfeld ""Vielfaltgestaltung""";2023: 1.179.735,94 € 2024: 1.352.410,57 € Gesamt: 2.532.146,51 €;01.01.2020 - 31.12.2024;wissenschaftliche Begleitung
717;Institut für Sozialarbeit und Sozialpädagogik;"Wissenschaftliche Begleitung der Partnerschaften für Demokratie und der Modellprojekte zur Extremismusprävention im Bundesprogramm ""Demokratie leben!";2023: 1.739.590,16 € 2024: 1.888.783,39 € Gesamt: 3.628.373,55 €;01.01.2020 - 31.12.2024;wissenschaftliche Begleitung
